
city_name,lat,lon,meals-basic,meals-medium,meals-luxury,hotel-basic,hotel-medium,hotel-luxury
Cuttack,20.4625,85.882,3.0,8.0,20.0,20.0,50.0,120.0
New York,40.7128,-74.006,3.0,8.0,20.0,20.0,50.0,120.0
Los Angeles,34.0522,-118.2437,3.0,8.0,20.0,20.0,50.0,120.0
Chicago,41.8781,-87.6298,3.0,8.0,20.0,20.0,50.0,120.0
London,51.5074,-0.1278,12.0,25.0,60.0,60.0,120.0,300.0
Paris,48.8566,2.3522,12.0,25.0,60.0,60.0,120.0,300.0
Tokyo,35.6895,139.6917,12.0,25.0,60.0,60.0,120.0,300.0
Beijing,39.9042,116.4074,12.0,25.0,60.0,60.0,120.0,300.0
Sydney,-33.8688,151.2093,12.0,25.0,60.0,60.0,120.0,300.0
Toronto,43.651,-79.347,12.0,25.0,60.0,60.0,120.0,300.0
Moscow,55.7558,37.6173,12.0,25.0,60.0,60.0,120.0,300.0
Dubai,25.2048,55.2708,12.0,25.0,60.0,60.0,120.0,300.0
Singapore,1.3521,103.8198,12.0,25.0,60.0,60.0,120.0,300.0
Hong Kong,22.3193,114.1694,12.0,25.0,60.0,60.0,120.0,300.0
Bangkok,13.7563,100.5018,12.0,25.0,60.0,60.0,120.0,300.0
Shanghai,31.2304,121.4737,12.0,25.0,60.0,60.0,120.0,300.0
Istanbul,41.0082,28.9784,12.0,25.0,60.0,60.0,120.0,300.0
Seoul,37.5665,126.978,12.0,25.0,60.0,60.0,120.0,300.0
Rome,41.9028,12.4964,12.0,25.0,60.0,60.0,120.0,300.0
Barcelona,41.3874,2.1686,12.0,25.0,60.0,60.0,120.0,300.0
Berlin,52.52,13.405,12.0,25.0,60.0,60.0,120.0,300.0
Amsterdam,52.3676,4.9041,12.0,25.0,60.0,60.0,120.0,300.0
Venice,45.4408,12.3155,12.0,25.0,60.0,60.0,120.0,300.0
Prague,50.0755,14.4378,12.0,25.0,60.0,60.0,120.0,300.0
Zurich,47.3769,8.5417,12.0,25.0,60.0,60.0,120.0,300.0
Vienna,48.2082,16.3738,12.0,25.0,60.0,60.0,120.0,300.0
Cairo,30.0444,31.2357,12.0,25.0,60.0,60.0,120.0,300.0
Cape Town,-33.9249,18.4241,12.0,25.0,60.0,60.0,120.0,300.0
Rio de Janeiro,-22.9068,-43.1729,12.0,25.0,60.0,60.0,120.0,300.0
Sao Paulo,-23.5505,-46.6333,12.0,25.0,60.0,60.0,120.0,300.0
Buenos Aires,-34.6037,-58.3816,12.0,25.0,60.0,60.0,120.0,300.0
Mexico City,19.4326,-99.1332,12.0,25.0,60.0,60.0,120.0,300.0
Vancouver,49.2827,-123.1207,12.0,25.0,60.0,60.0,120.0,300.0
Madrid,40.4168,-3.7038,12.0,25.0,60.0,60.0,120.0,300.0
Lisbon,38.7223,-9.1393,12.0,25.0,60.0,60.0,120.0,300.0
Athens,37.9838,23.7275,12.0,25.0,60.0,60.0,120.0,300.0
Kuala Lumpur,3.139,101.6869,12.0,25.0,60.0,60.0,120.0,300.0
Denpasar,-8.6705,115.2126,12.0,25.0,60.0,60.0,120.0,300.0
Phuket,7.8804,98.3923,12.0,25.0,60.0,60.0,120.0,300.0
Male,4.1753,73.5089,12.0,25.0,60.0,60.0,120.0,300.0
Auckland,-36.8485,174.7633,12.0,25.0,60.0,60.0,120.0,300.0
Lima,-12.0464,-77.0428,12.0,25.0,60.0,60.0,120.0,300.0
Nairobi,-1.2921,36.8219,12.0,25.0,60.0,60.0,120.0,300.0
Marrakech,31.63,-7.993,12.0,25.0,60.0,60.0,120.0,300.0
Honolulu,21.3069,-157.8583,12.0,25.0,60.0,60.0,120.0,300.0
Montreal,45.5017,-73.5673,12.0,25.0,60.0,60.0,120.0,300.0
Dublin,53.3498,-6.2603,12.0,25.0,60.0,60.0,120.0,300.0
Edinburgh,55.9533,-3.1883,12.0,25.0,60.0,60.0,120.0,300.0
Miami,25.7617,-80.1918,12.0,25.0,60.0,60.0,120.0,300.0
San Francisco,37.7749,-122.4194,12.0,25.0,60.0,60.0,120.0,300.0
Las Vegas,36.1699,-115.1398,12.0,25.0,60.0,60.0,120.0,300.0
Orlando,28.5383,-81.3792,12.0,25.0,60.0,60.0,120.0,300.0
Washington DC,38.9072,-77.0369,12.0,25.0,60.0,60.0,120.0,300.0
Stockholm,59.3293,18.0686,12.0,25.0,60.0,60.0,120.0,300.0
